"referenceno","commissiontype","commissionamt","max"
"100017364",D,106.24,2025-02-01 00:00:00.000
"100017372",D,47.95,2025-02-01 00:00:00.000
"100017387",D,179.98,2025-02-01 00:00:00.000
"100017390",D,69.22,2025-02-01 00:00:00.000
"100017463",D,200.36,2025-02-01 00:00:00.000
"100017491",D,117.91,2025-02-01 00:00:00.000
"100017505",D,182.53,2025-02-01 00:00:00.000
"100017516",D,85.59,2025-02-01 00:00:00.000
"100017534",D,191.44,2025-02-01 00:00:00.000
"100017554",D,95.9,2025-02-01 00:00:00.000
"100017556",D,60.08,2025-02-01 00:00:00.000
"100017580",D,97.69,2025-02-01 00:00:00.000
"100017603",D,51.27,2025-02-01 00:00:00.000
"100017877",D,136.52,2025-02-01 00:00:00.000
"100018409",D,113.07,2025-02-01 00:00:00.000
"100018458",D,184.43,2025-02-01 00:00:00.000
"100018464",D,95.9,2025-02-01 00:00:00.000
"801273110",D,50.22,2025-02-01 00:00:00.000
"801393485",D,31.78,2025-02-01 00:00:00.000
"801393546",D,200.19,2025-02-01 00:00:00.000
"801395358",D,16.9,2025-02-01 00:00:00.000
"801397102",D,65.73,2025-02-01 00:00:00.000
"801397595",D,53.49,2025-02-01 00:00:00.000
"801401303",D,32.5,2025-02-01 00:00:00.000
"801401724",D,43.7,2025-02-01 00:00:00.000
"801411099",D,163.7,2025-02-01 00:00:00.000
"801412444",D,130.14,2025-02-01 00:00:00.000
"801412823",D,135.5,2025-02-01 00:00:00.000
"801416199",D,26.43,2025-02-01 00:00:00.000
"801421149",D,72.75,2025-02-01 00:00:00.000
"801432776",D,65.97,2025-02-01 00:00:00.000
"801437552",D,3.94,2025-02-01 00:00:00.000
"801439306",D,10.9,2025-02-01 00:00:00.000
"801439692",D,1.82,2025-02-01 00:00:00.000
"801441046",D,1.21,2025-02-01 00:00:00.000
"801441236",D,327.32,2025-02-01 00:00:00.000
"801441429",D,15.17,2025-02-01 00:00:00.000
"801446418",D,29.61,2025-02-01 00:00:00.000
"801446587",D,185.47,2025-02-01 00:00:00.000
"801446952",D,3.29,2025-02-01 00:00:00.000
"801448163",D,13.99,2025-02-01 00:00:00.000
"801449229",D,7.72,2025-02-01 00:00:00.000
"801452737",D,16.94,2025-02-01 00:00:00.000
"801454455",D,25.83,2025-02-01 00:00:00.000
"801454889",D,20.08,2025-02-01 00:00:00.000
"801456940",D,21.11,2025-02-01 00:00:00.000
"801458693",D,15.07,2025-02-01 00:00:00.000
"801459847",D,4.67,2025-02-01 00:00:00.000
"801461766",D,17.01,2025-02-01 00:00:00.000
"801463958",D,91.77,2025-02-01 00:00:00.000
"801465472",D,24.07,2025-02-01 00:00:00.000
"801466574",D,37.09,2025-02-01 00:00:00.000
"801466708",D,5.31,2025-02-01 00:00:00.000
"801468098",D,13.83,2025-02-01 00:00:00.000
"801471538",D,2.59,2025-02-01 00:00:00.000
"801472280",D,3.07,2025-02-01 00:00:00.000
"801474027",D,12.76,2025-02-01 00:00:00.000
"801477813",D,5.76,2025-02-01 00:00:00.000
"801481221",D,3.29,2025-02-01 00:00:00.000
"801481478",D,15.01,2025-02-01 00:00:00.000
"801481794",D,2.01,2025-02-01 00:00:00.000
"801483105",D,4.11,2025-02-01 00:00:00.000
"801484606",D,5.94,2025-02-01 00:00:00.000
"801487111",D,15.36,2025-02-01 00:00:00.000
"801497498",D,30,2025-02-01 00:00:00.000
"801497867",D,19.14,2025-02-01 00:00:00.000
